state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Maine,2017,36210,0.114,360,793,0.0017,0.0003,0.1511,0.0199
Maryland,2017,43840,0.094,1985,1249,0.0012,0.0004,0.0401,0.0166
Massachusetts,2017,47440,0.104,1913,1260,0.0026,0.0003,0.0422,0.0284
Michigan,2017,36650,0.142,2033,739,0.0009,0.0003,0.0667,0.0146
Minnesota,2017,41260,0.098,422,769,0.0014,0.0001,0.0495,0.0161
Mississippi,2017,30070,0.197,185,723,0.0005,0.0001,0.0776,0.0184
Missouri,2017,35050,0.133,952,696,0.001,0.0002,0.0667,0.015
Montana,2017,33840,0.126,38,714,0.0015,0.0001,0.083,0.013
Nebraska,2017,36130,0.107,59,674,0.0013,0.0001,0.0433,0.0145
Nevada,2017,34930,0.131,412,814,0.0026,0.0002,0.0522,0.0078
New Hampshire,2017,38900,0.075,424,1029,0.0011,0.0003,0.0786,0.0158
New Jersey,2017,42500,0.097,1969,1363,0.001,0.0003,0.0447,0.0186
New Mexico,2017,33450,0.196,332,739,0.0012,0.0002,0.0814,0.0123
New York,2017,43690,0.14,3224,994,0.0046,0.0002,0.0522,0.0307
North Carolina,2017,34750,0.149,1953,742,0.0009,0.0002,0.065,0.0119
North Dakota,2017,40040,0.098,35,781,0.0014,0.0001,0.0772,0.0176
Ohio,2017,36500,0.139,4293,733,0.0009,0.0004,0.0458,0.0193
Oklahoma,2017,33630,0.154,388,710,0.0011,0.0002,0.0671,0.0136
Oregon,2017,38840,0.132,344,830,0.0034,0.0001,0.0398,0.0126
Pennsylvania,2017,37540,0.125,2548,827,0.0011,0.0004,0.0536,0.0172
Rhode Island,2017,40450,0.117,277,1022,0.0011,0.0003,0.0564,0.036
South Carolina,2017,32780,0.154,749,763,0.0008,0.0002,0.0756,0.0124
South Dakota,2017,32340,0.122,35,678,0.0011,0.0001,0.0554,0.0158
Tennessee,2017,33860,0.15,1269,692,0.0012,0.0003,0.0552,0.0156
Texas,2017,36170,0.146,1458,791,0.0008,0.0001,0.0463,0.0098
Utah,2017,35650,0.096,456,772,0.0009,0.0002,0.0352,0.006
Vermont,2017,38640,0.111,114,1026,0.002,0.0002,0.1259,0.0203
Virginia,2017,39800,0.105,1241,941,0.0007,0.0002,0.0463,0.0121
Washington,2017,44440,0.112,742,894,0.0028,0.0002,0.0354,0.0119
West Virginia,2017,31540,0.191,833,726,0.0007,0.0005,0.0974,0.0191
Wisconsin,2017,37040,0.109,926,744,0.0009,0.0002,0.0596,0.0133
Wyoming,2017,39120,0.118,47,768,0.0015,0.0001,0.088,0.01
Alabama,2018,33740,0.1679,381,682,0.0007,0.0002,,0.0187
Alaska,2018,48020,0.1073,68,1193,0.0027,0.0001,,0.0106
Arizona,2018,37020,0.139,1106,834,0.0014,0.0002,,0.0057
Arkansas,2018,31850,0.174,208,666,0.0009,0.0001,,0.0168
California,2018,42430,0.1275,2410,1287,0.0033,0.0001,,0.0124
Colorado,2018,42310,0.0975,564,982,0.0019,0.0002,,0.0109
Connecticut,2018,46920,0.1035,948,1231,0.0011,0.0003,,0.0232
Delaware,2018,39900,0.1179,355,1033,0.0011,0.0004,,0.0135
Florida,2018,34560,0.1339,3189,903,0.0015,0.0002,,0.0092
Georgia,2018,35950,0.1437,866,762,0.0009,0.0001,,0.0129
Hawaii,2018,42480,0.0946,59,1567,0.0046,0.0001,,0.0161
Idaho,2018,34260,0.1202,120,748,0.0011,0.0001,,0.0072
Illinois,2018,39950,0.1194,2169,767,0.0008,0.0002,,0.0178
Indiana,2018,35730,0.1312,1104,760,0.0008,0.0002,,0.0139
Iowa,2018,37100,0.1123,143,698,0.0009,0.0001,,0.0129
Kansas,2018,35950,0.1222,156,737,0.0008,0.0001,,0.012
Kentucky,2018,34650,0.1674,989,680,0.0008,0.0003,,0.0191
Louisiana,2018,33390,0.187,444,783,0.0007,0.0002,,0.0202
Maine,2018,37120,0.1115,282,825,0.0019,0.0003,,0.0198
Maryland,2018,44690,0.0883,2087,1273,0.0012,0.0004,,0.0166
Massachusetts,2018,48680,0.1001,1991,1352,0.0029,0.0003,,0.0285
Michigan,2018,37620,0.1399,2011,763,0.0008,0.0003,,0.0146
Minnesota,2018,42630,0.0973,343,786,0.0013,0.0001,,0.0161
Mississippi,2018,30580,0.2,173,701,0.0005,0.0001,,0.0187
Missouri,2018,36040,0.1317,1132,694,0.001,0.0003,,0.015
Montana,2018,35080,0.1211,64,758,0.0013,0.0001,,0.0131
Nebraska,2018,37130,0.1149,63,682,0.0013,0.0001,,0.0145
Nevada,2018,35550,0.1301,372,877,0.0025,0.0002,,0.0077
New Hampshire,2018,39870,0.0724,412,1064,0.0011,0.0003,,0.0157
New Jersey,2018,43600,0.094,2583,1394,0.0011,0.0003,,0.0186
New Mexico,2018,34120,0.2006,338,762,0.0012,0.0003,,0.0123
New York,2018,44990,0.1375,2991,1018,0.0047,0.0002,,0.0303
North Carolina,2018,35750,0.1408,1783,773,0.0009,0.0002,,0.0119
North Dakota,2018,41340,0.1015,36,764,0.0007,0.0001,,0.0176
Ohio,2018,37360,0.1391,3237,742,0.0009,0.0003,,0.0192
Oklahoma,2018,34560,0.1543,308,736,0.001,0.0002,,0.0135
Oregon,2018,39580,0.1218,339,878,0.0035,0.0001,,0.0126
Pennsylvania,2018,38450,0.1218,2866,851,0.0011,0.0003,,0.0172
Rhode Island,2018,42040,0.1256,267,1048,0.001,0.0003,,0.0359
South Carolina,2018,33750,0.1511,835,771,0.0008,0.0002,,0.0123
South Dakota,2018,33450,0.1333,28,693,0.0013,0.0001,,0.0157
Tennessee,2018,34890,0.1543,1307,707,0.0012,0.0003,,0.0155
Texas,2018,37100,0.1481,1402,803,0.0009,0.0001,,0.0097
Utah,2018,36790,0.0876,437,819,0.0009,0.0002,,0.006
Vermont,2018,39720,0.1113,127,1038,0.0021,0.0002,,0.0206
Virginia,2018,40820,0.1068,1193,973,0.0007,0.0002,,0.0122
Washington,2018,46100,0.1045,737,922,0.003,0.0002,,0.012
West Virginia,2018,32640,0.1773,702,693,0.0007,0.0005,,0.019
Wisconsin,2018,37970,0.1077,846,758,0.0008,0.0002,,0.0133
Wyoming,2018,40240,0.1114,40,814,0.0011,0.0001,,0.01
Alabama,2019,34800,0.15446,414,698,0.0007,0.0002,0.079,0.0188
Alaska,2019,48540,0.107,83,1232,0.0026,0.0002,0.0925,0.0107
Arizona,2019,38410,0.13393,1290,878,0.0014,0.0003,0.0557,0.0057
Arkansas,2019,32940,0.16511,198,686,0.0009,0.0001,0.0747,0.0167
California,2019,44180,0.11799,3235,1361,0.0038,0.0002,0.0306,0.0125
Colorado,2019,44250,0.09369,633,1013,0.0017,0.0002,0.0398,0.0107
Connecticut,2019,48530,0.10181,1100,1251,0.0009,0.0003,0.0415,0.0232
Delaware,2019,40900,0.10902,387,1096,0.0009,0.0004,0.0693,0.0136
Florida,2019,35850,0.12712,3771,947,0.0013,0.0002,0.0823,0.0092
Georgia,2019,36930,0.13421,862,780,0.001,0.0001,0.0495,0.0127
Hawaii,2019,44400,0.09772,55,1659,0.0045,0.0002,0.0601,0.0163
Idaho,2019,35360,0.11084,133,751,0.0013,0.0001,0.0533,0.007
Illinois,2019,41060,0.11363,2219,787,0.0008,0.0002,0.0412,0.018
Indiana,2019,36960,0.12154,1254,764,0.0008,0.0003,0.048,0.0131
Iowa,2019,38280,0.11411,161,715,0.0007,0.0001,0.0416,0.0128
Kansas,2019,37010,0.11498,184,718,0.0008,0.0001,0.0515,0.0121
Kentucky,2019,35540,0.16085,1036,689,0.0009,0.0003,0.0577,0.019
Louisiana,2019,34650,0.18747,558,780,0.0006,0.0003,0.075,0.0201
Maine,2019,38370,0.1059,323,887,0.0016,0.0003,0.1319,0.0198
Maryland,2019,45970,0.09062,2104,1237,0.0011,0.0004,0.0403,0.0167
Massachusetts,2019,50200,0.09422,1969,1519,0.0027,0.0003,0.0404,0.0284
Michigan,2019,38680,0.13094,1789,768,0.0009,0.0002,0.0661,0.0146
Minnesota,2019,44110,0.0898,428,803,0.0014,0.0001,0.0452,0.0158
Mississippi,2019,31210,0.19557,245,692,0.0004,0.0001,0.0802,0.0186
Missouri,2019,37180,0.12568,1096,706,0.001,0.0003,0.0588,0.015
Montana,2019,36420,0.13109,70,749,0.0013,0.0001,0.077,0.0129
Nebraska,2019,38390,0.10273,68,738,0.0012,0.0001,0.0412,0.0143
Nevada,2019,36410,0.13034,373,883,0.0023,0.0002,0.0461,0.0075
New Hampshire,2019,41490,0.07471,365,1097,0.001,0.0003,0.0742,0.0159
New Jersey,2019,45000,0.09176,2502,1432,0.001,0.0003,0.04,0.0189
New Mexico,2019,35420,0.17747,394,807,0.0015,0.0003,0.0739,0.0124
New York,2019,46680,0.12892,2939,1044,0.0047,0.0002,0.0492,0.0305
North Carolina,2019,36910,0.13518,1817,784,0.0009,0.0002,0.0669,0.0121
North Dakota,2019,42510,0.10964,43,779,0.0007,0.0001,0.0741,0.0175
Ohio,2019,38560,0.13006,3452,746,0.0009,0.0004,0.043,0.0192
Oklahoma,2019,35730,0.15469,268,733,0.001,0.0002,0.0643,0.0134
Oregon,2019,41250,0.11514,332,935,0.0038,0.0001,0.0377,0.0128
Pennsylvania,2019,39490,0.12132,3034,852,0.001,0.0003,0.0479,0.0173
Rhode Island,2019,44170,0.10736,240,1093,0.001,0.0003,0.0595,0.0362
South Carolina,2019,34690,0.13776,862,806,0.0008,0.0002,0.0729,0.0122
South Dakota,2019,34750,0.1102,39,735,0.0011,0.0001,0.0542,0.0156
Tennessee,2019,35910,0.13884,1543,729,0.0011,0.0003,0.0547,0.0154
Texas,2019,38010,0.13603,1497,822,0.0009,0.0001,0.0448,0.0097
Utah,2019,37910,0.09413,397,815,0.0009,0.0002,0.0342,0.0059
Vermont,2019,40920,0.10159,114,1024,0.0017,0.0002,0.1228,0.02
Virginia,2019,42220,0.09864,1266,975,0.0007,0.0002,0.0434,0.0122
Washington,2019,48140,0.09706,827,1000,0.0028,0.0002,0.0345,0.0118
West Virginia,2019,33920,0.15767,673,688,0.0008,0.0005,0.0931,0.019
Wisconsin,2019,39090,0.09721,928,774,0.0008,0.0002,0.0581,0.0133
Wyoming,2019,41650,0.09947,47,825,0.0009,0.0001,0.0815,0.0099
Alabama,2020,36250,,611,701,0.0007,0.0002,,0.0184
Alaska,2020,50860,,112,1292,0.0027,0.0002,,0.0107
Arizona,2020,40260,,1884,917,0.0015,0.0004,,0.0057
Arkansas,2020,34330,,284,672,0.0008,0.0002,,0.0169
California,2020,47290,,5508,1446,0.0041,0.0002,,0.0126
Colorado,2020,46850,,978,1008,0.0017,0.0003,,0.0108
Connecticut,2020,51090,,1250,1294,0.0008,0.0004,,0.0231
Delaware,2020,43090,,407,1073,0.0012,0.0004,,0.0132
Florida,2020,37580,,5470,992,0.0013,0.0003,,0.0092
Georgia,2020,38660,,1305,788,0.001,0.0002,,0.0126
Hawaii,2020,46680,,74,1798,0.0044,0.0002,,0.016
Idaho,2020,37010,,160,793,0.0013,0.0002,,0.0068
Illinois,2020,43700,,2948,787,0.0008,0.0003,,0.0179
Indiana,2020,38600,,1877,782,0.0008,0.0003,,0.0131
Iowa,2020,39920,,224,729,0.0008,0.0001,,0.0128
Kansas,2020,38670,,262,752,0.0008,0.0002,,0.012
Kentucky,2020,37230,,1688,699,0.0009,0.0005,,0.0189
Louisiana,2020,36460,,945,820,0.0007,0.0004,,0.0203
Maine,2020,40460,,420,849,0.0015,0.0004,,0.0198
Maryland,2020,48740,,2504,1243,0.001,0.0004,,0.0165
Massachusetts,2020,53550,,2065,1588,0.0026,0.0003,,0.028
Michigan,2020,40920,,2190,773,0.0009,0.0003,,0.0145
Minnesota,2020,46610,,678,823,0.0014,0.0002,,0.0159
Mississippi,2020,32710,,405,703,0.0004,0.0002,,0.0189
Missouri,2020,38890,,1377,700,0.0011,0.0003,,0.0151
Montana,2020,37860,,86,809,0.0014,0.0001,,0.0128
Nebraska,2020,39850,,101,724,0.0012,0.0001,,0.0142
Nevada,2020,38580,,559,905,0.0022,0.0003,,0.0075
New Hampshire,2020,44130,,341,1089,0.0012,0.0003,,0.0159
New Jersey,2020,48130,,2538,1467,0.001,0.0003,,0.0182
New Mexico,2020,37380,,535,802,0.0016,0.0004,,0.0123
New York,2020,49580,,4233,1076,0.0045,0.0002,,0.0296
North Carolina,2020,38740,,2634,799,0.0009,0.0003,,0.0123
North Dakota,2020,44220,,71,766,0.0007,0.0001,,0.0178
Ohio,2020,40300,,4385,761,0.0009,0.0004,,0.0191
Oklahoma,2020,37110,,320,728,0.001,0.0002,,0.0131
Oregon,2020,43760,,499,1022,0.0035,0.0002,,0.0129
Pennsylvania,2020,41760,,3907,850,0.001,0.0004,,0.0171
Rhode Island,2020,47360,,331,1108,0.001,0.0004,,0.0349
South Carolina,2020,36100,,1409,788,0.0008,0.0003,,0.0124
South Dakota,2020,36820,,46,749,0.0012,0.0001,,0.0156
Tennessee,2020,37440,,2412,757,0.001,0.0004,,0.0151
Texas,2020,39640,,2124,829,0.0009,0.0001,,0.0097
Utah,2020,39480,,447,850,0.001,0.0002,,0.0059
Vermont,2020,43270,,157,1050,0.0017,0.0003,,0.0194
Virginia,2020,45210,,1897,992,0.0007,0.0003,,0.0123
Washington,2020,51600,,1195,1069,0.003,0.0002,,0.0119
West Virginia,2020,35500,,1129,726,0.0007,0.0007,,0.019
Wisconsin,2020,41150,,1251,800,0.0008,0.0003,,0.0132
Wyoming,2020,43030,,60,846,0.0011,0.0002,,0.01
Alabama,2021,37250,0.159832,981,1215,0.0005,0.0003,0.0685,0.0185
Alaska,2021,48820,0.110036,201,1292,0.0027,0.0004,0.077,0.0107
Arizona,2021,39500,0.128714,2000,726,0.0008,0.0004,0.0441,0.0057
Arkansas,2021,36680,0.164007,386,701,0.0007,0.0002,0.0651,0.0171
California,2021,47920,0.123202,7181,672,0.0015,0.0003,0.0277,0.0128
Colorado,2021,47940,0.098586,1289,697,0.0015,0.0003,0.0392,0.0109
Connecticut,2021,48720,0.100926,1393,917,0.0007,0.0004,0.0299,0.0231
Delaware,2021,46700,0.112325,450,970,0.0016,0.0005,0.062,0.013
Florida,2021,37920,0.131483,5940,1446,0.001,0.0004,0.0682,0.0092
Georgia,2021,38340,0.140937,1799,1526,0.0005,0.0002,0.0439,0.0125
Hawaii,2021,47700,0.112643,91,1008,0.0017,0.0002,0.0517,0.0161
Idaho,2021,37550,0.111748,236,1294,0.001,0.0002,0.0428,0.0067
Illinois,2021,46630,0.119864,3050,1348,0.0006,0.0003,0.0353,0.0181
Indiana,2021,38330,0.120672,2206,1073,0.0007,0.0004,0.0395,0.013
Iowa,2021,39070,0.111155,259,1088,0.0008,0.0001,0.0393,0.0128
Kansas,2021,38050,0.119893,435,1097,0.0006,0.0002,0.0427,0.012
Kentucky,2021,37660,0.165255,1897,992,0.0006,0.0005,0.0494,0.0188
Louisiana,2021,37320,0.195687,1335,1021,0.0005,0.0005,0.0669,0.0206
Maine,2021,42950,0.121606,547,1798,0.0015,0.0004,0.1095,0.0197
Maryland,2021,48460,0.102017,2460,793,0.0007,0.0004,0.0309,0.0165
Massachusetts,2021,58540,0.104424,2267,788,0.0022,0.0004,0.037,0.0281
Michigan,2021,45190,0.132697,2536,1798,0.0007,0.0003,0.0536,0.0145
Minnesota,2021,47590,0.088917,978,729,0.0012,0.0002,0.0413,0.016
Mississippi,2021,35070,0.194137,556,793,0.0002,0.0003,0.0687,0.0192
Missouri,2021,38130,0.127281,1582,760,0.0008,0.0003,0.0549,0.015
Montana,2021,38050,0.113251,114,821,0.0016,0.0002,0.0659,0.0126
Nebraska,2021,38780,0.10245,113,782,0.001,0.0001,0.0348,0.0143
Nevada,2021,37900,0.140711,605,699,0.0023,0.0003,0.0363,0.0076
New Hampshire,2021,46960,0.070146,382,801,0.0011,0.0003,0.0691,0.016
New Jersey,2021,48200,0.103224,2672,752,0.0009,0.0003,0.0304,0.0183
New Mexico,2021,37810,0.187038,750,757,0.0013,0.0005,0.0539,0.0123
New York,2021,48800,0.139044,4946,733,0.004,0.0003,0.0442,0.0298
North Carolina,2021,38370,0.136689,3339,787,0.0007,0.0004,0.0589,0.0121
North Dakota,2021,46960,0.098245,74,802,0.0007,0.0002,0.0667,0.0183
Ohio,2021,39680,0.133138,4456,820,0.0007,0.0005,0.0371,0.0192
Oklahoma,2021,37500,0.155256,468,844,0.0007,0.0002,0.0536,0.0131
Oregon,2021,46910,0.124961,779,1588,0.0021,0.0003,0.0316,0.0132
Pennsylvania,2021,44900,0.121487,4081,1642,0.0008,0.0004,0.0416,0.0171
Rhode Island,2021,47780,0.115251,385,1243,0.0012,0.0004,0.0408,0.035
South Carolina,2021,37250,0.14854,1712,1256,0.0006,0.0004,0.0666,0.0124
South Dakota,2021,37710,0.125248,46,849,0.0009,0.0001,0.0489,0.0155
Tennessee,2021,37700,0.137222,3038,909,0.001,0.0005,0.0456,0.0152
Texas,2021,39030,0.142981,2770,773,0.0006,0.0002,0.0362,0.0096
Utah,2021,38860,0.081523,446,815,0.0011,0.0002,0.0265,0.0059
Vermont,2021,46910,0.103915,218,842,0.004,0.0004,0.1029,0.0204
Virginia,2021,47200,0.103417,2230,823,0.0007,0.0003,0.0371,0.0123
Washington,2021,50450,0.102342,1623,700,0.0015,0.0003,0.0303,0.0121
West Virginia,2021,36860,0.16835,1253,703,0.0006,0.0008,0.0763,0.0191
Wisconsin,2021,45000,0.108908,1437,728,0.0007,0.0003,0.0507,0.0133
Wyoming,2021,45890,0.113878,71,727,0.0007,0.0002,0.0545,0.0099
Alabama,2022,38470,0.16481,1097,831,0.0007,0.0003,0.0637,0.0185
Alaska,2022,52000,0.114401,188,809,0.0032,0.0003,0.0743,0.0107
Arizona,2022,45290,0.125638,1930,825,0.0018,0.0004,0.0456,0.0056
Arkansas,2022,37270,0.167535,388,799,0.0008,0.0002,0.0589,0.0172
California,2022,49740,0.120619,7347,766,0.0044,0.0003,0.0275,0.0129
Colorado,2022,50250,0.092336,1177,724,0.0018,0.0003,0.0351,0.0108
Connecticut,2022,51780,0.099028,1349,759,0.0008,0.0004,0.0295,0.0232
Delaware,2022,47150,0.086605,490,1089,0.0023,0.0005,0.0622,0.013
Florida,2022,40820,0.127404,5581,1142,0.0012,0.0003,0.064,0.0091
Georgia,2022,42890,0.126379,1983,1467,0.001,0.0002,0.0409,0.0125
Hawaii,2022,48560,0.106055,103,1552,0.0041,0.0002,0.0508,0.0159
Idaho,2022,40060,0.101519,270,842,0.001,0.0002,0.0411,0.0066
Illinois,2022,47480,0.119886,3189,905,0.0007,0.0003,0.0314,0.0182
Indiana,2022,42100,0.124155,2072,915,0.0008,0.0004,0.0366,0.013
Iowa,2022,44350,0.110026,236,802,0.0008,0.0001,0.0336,0.0129
Kansas,2022,41870,0.122586,506,1076,0.0008,0.0003,0.0399,0.0121
Kentucky,2022,40180,0.16854,1767,1120,0.0009,0.0005,0.0431,0.0187
Louisiana,2022,38970,0.185098,1367,761,0.0016,0.0005,0.0645,0.0206
Maine,2022,45420,0.103023,619,850,0.0032,0.0005,0.1052,0.0195
Maryland,2022,51420,0.095929,2247,1022,0.0009,0.0004,0.0296,0.0165
Massachusetts,2022,58450,0.104182,2326,728,0.0022,0.0004,0.034,0.0281
Michigan,2022,45500,0.133425,2418,1108,0.0008,0.0003,0.0513,0.0145
Minnesota,2022,48760,0.095908,1031,788,0.0014,0.0002,0.0394,0.0162
Mississippi,2022,36100,0.190706,543,757,0.0004,0.0003,0.0661,0.0193
Missouri,2022,42310,0.12842,1586,749,0.001,0.0004,0.0493,0.0151
Montana,2022,42210,0.124916,130,829,0.0014,0.0002,0.058,0.0126
Nebraska,2022,44100,0.104752,122,1050,0.0011,0.0001,0.0308,0.0144
Nevada,2022,40810,0.125622,639,846,0.0024,0.0003,0.0411,0.0076
New Hampshire,2022,47920,0.067919,431,1069,0.0011,0.0003,0.0654,0.0159
New Jersey,2022,51080,0.097403,2637,800,0.0009,0.0003,0.0288,0.0183
New Mexico,2022,39900,0.178356,733,726,0.0012,0.0005,0.0513,0.0124
New York,2022,52470,0.141654,5361,1252,0.0038,0.0003,0.0412,0.0302
North Carolina,2022,41810,0.129921,3639,850,0.0009,0.0004,0.0554,0.012
North Dakota,2022,47410,0.110894,97,992,0.0008,0.0002,0.0592,0.0181
Ohio,2022,44750,0.133881,4230,774,0.0009,0.0004,0.0352,0.0193
Oklahoma,2022,39100,0.155669,761,698,0.0009,0.0003,0.0506,0.0134
Oregon,2022,47770,0.118716,968,1040,0.0042,0.0003,0.0313,0.0133
Pennsylvania,2022,45790,0.119027,3960,1533,0.001,0.0004,0.0401,0.0171
Rhode Island,2022,49360,0.108265,333,1201,0.0014,0.0004,0.0358,0.0351
South Carolina,2022,38870,0.140512,1831,1366,0.0007,0.0004,0.0587,0.0121
South Dakota,2022,39870,0.112493,46,1088,0.0015,0.0001,0.0436,0.0154
Tennessee,2022,39930,0.134298,3062,1074,0.0015,0.0005,0.0422,0.015
Texas,2022,43460,0.139302,3172,853,0.0008,0.0002,0.0348,0.0095
Utah,2022,44470,0.081161,427,1888,0.001,0.0002,0.0292,0.0059
Vermont,2022,47320,0.098904,239,877,0.0043,0.0004,0.0955,0.0205
Virginia,2022,48290,0.107154,2108,788,0.0008,0.0003,0.0351,0.0123
Washington,2022,56320,0.100466,2063,829,0.0032,0.0003,0.03,0.0122
West Virginia,2022,37770,0.177808,1146,779,0.0008,0.0008,0.0707,0.0195
Wisconsin,2022,45650,0.107357,1433,814,0.0008,0.0003,0.0473,0.0133
Wyoming,2022,45450,0.116291,83,747,0.0011,0.0002,0.0581,0.0099
Alabama,2023,41350,0.15611948,,1653,0.0006,,0.0603,0.0185
Alaska,2023,56140,0.10610421,,823,0.0035,,0.0717,0.0108
Arizona,2023,47680,0.12440615,,959,0.0019,,0.0445,0.0056
Arkansas,2023,39060,0.15202338,,1276,0.0008,,0.0574,0.0171
California,2023,54030,0.11977809,,836,0.0046,,0.0271,0.013
Colorado,2023,54050,0.09376556,,884,0.0024,,0.0356,0.0108
Connecticut,2023,56130,0.10257371,,749,0.0008,,0.0283,0.0232
Delaware,2023,49280,0.10694347,,749,0.0012,,0.0573,0.0128
Florida,2023,45070,0.1228858,,819,0.0013,,0.0649,0.0089
Georgia,2023,45480,0.13576629,,856,0.0011,,0.0416,0.0124
Hawaii,2023,50510,0.10735963,,798,0.0043,,0.0542,0.0163
Idaho,2023,44240,0.10013204,,1209,0.0012,,0.0416,0.0065
Illinois,2023,48730,0.1150025,,1545,0.0009,,0.0316,0.0182
Indiana,2023,45470,0.12255209,,813,0.0009,,0.036,0.0131
Iowa,2023,46460,0.11090997,,779,0.0008,,0.0346,0.0128
Kansas,2023,45250,0.11400305,,1068,0.0009,,0.0378,0.0119
Kentucky,2023,43730,0.16680228,,1138,0.001,,0.0402,0.0188
Louisiana,2023,41320,0.18798666,,807,0.0007,,0.0634,0.0207
Maine,2023,47590,0.10459539,,920,0.003,,0.101,0.0195
Maryland,2023,55810,0.09486858,,1087,0.0009,,0.0302,0.0164
Massachusetts,2023,60690,0.1043278,,776,0.0027,,0.0347,0.0276
Michigan,2023,46940,0.13503468,,1272,0.0009,,0.0531,0.0144
Minnesota,2023,50880,0.09296262,,867,0.0015,,0.0401,0.0161
Mississippi,2023,37500,0.17918098,,798,0.0003,,0.0625,0.0194
Missouri,2023,45080,0.11724273,,786,0.0011,,0.0464,0.0151
Montana,2023,45690,0.11352509,,897,0.0019,,0.0553,0.0125
Nebraska,2023,46440,0.10112702,,1077,0.0012,,0.03,0.0143
Nevada,2023,44810,0.11878517,,851,0.0027,,0.0384,0.0076
New Hampshire,2023,49980,0.06923828,,1124,0.0017,,0.0596,0.016
New Jersey,2023,54860,0.09715367,,853,0.0011,,0.0283,0.018
New Mexico,2023,43620,0.17469245,,761,0.0018,,0.0513,0.0124
New York,2023,56840,0.14066065,,1341,0.0052,,0.0416,0.0299
North Carolina,2023,45440,0.12913567,,920,0.0009,,0.0539,0.0118
North Dakota,2023,48830,0.10213846,,1016,0.001,,0.0508,0.0181
Ohio,2023,46690,0.13331338,,839,0.001,,0.0338,0.0192
Oklahoma,2023,41480,0.15965632,,768,0.0011,,0.0492,0.0132
Oregon,2023,50010,0.12235367,,1180,0.0047,,0.03,0.0134
Pennsylvania,2023,47430,0.11995424,,1668,0.001,,0.0396,0.0172
Rhode Island,2023,50970,0.10498229,,1276,0.0016,,0.0391,0.035
South Carolina,2023,42220,0.13722739,,1559,0.0008,,0.058,0.0119
South Dakota,2023,43680,0.1258884,,1253,0.0014,,0.0421,0.0152
Tennessee,2023,43820,0.14059735,,1209,0.0013,,0.0428,0.0149
Texas,2023,45970,0.13680858,,966,0.0009,,0.0369,0.0094
Utah,2023,47020,0.09246875,,1951,0.0011,,0.0264,0.0058
Vermont,2023,49630,0.09932519,,961,0.0051,,0.0952,0.0206
Virginia,2023,49920,0.10233041,,849,0.0008,,0.0361,0.0123
Washington,2023,59920,0.10154353,,882,0.0036,,0.0331,0.0121
West Virginia,2023,39770,0.16647185,,836,0.0008,,0.0678,0.0196
Wisconsin,2023,47590,0.10868443,,912,0.0008,,0.0492,0.0132
Wyoming,2023,47250,0.11700848,,823,0.0009,,0.056,0.0099